market,clientname,brand,category
United Arab Emirates,Emirates,dnata Travel,Travel
United Arab Emirates,Emirates,Arabian Adventures,Travel
United Kingdom of Great Britain and Northern Ireland,Emirates,Arabian Adventures,Travel
India,Emirates,Arabian Adventures,Travel
Australia,Emirates,Arabian Adventures,Travel
United Arab Emirates,Emirates,Marhaba,Travel
United Kingdom of Great Britain and Northern Ireland,Emirates,Marhaba,Travel
India,Emirates,Marhaba,Travel
Australia,Emirates,Marhaba,Travel
Iraq,Estithmar Properties,Rixos Baghdad,Real Estate
United Arab Emirates,Ethara,Ethara,Entertainment & media
United Arab Emirates,Ethara,NBA,Entertainment & media
United Arab Emirates,Ethara,Saadiyat Nights,Entertainment & media
United Arab Emirates,Ethara,Power Slap,Entertainment & media
United Arab Emirates,Ethara,Motorcross,Entertainment & media
United Arab Emirates,Ethara,USAB,Entertainment & media
United Arab Emirates,Ethara,UFC,Entertainment & media
United Arab Emirates,Ethara,Layali Ramadan,Entertainment & media
Egypt,Etisalat,Etisalat,Telecoms
Saudi Arabia,eXtra,eXtra,Consumer Electronics
Oman,eXtra,eXtra,Consumer Electronics
Bahrain,eXtra,eXtra,Consumer Electronics
Kuwait,Fawzia Sultan Health Network,Fawzia Sultan Health Network,Healthcare
Jordan,Ferrero,Nutella,Food
Lebanon,Ferrero,Nutella,Food
Iraq,Ferrero,Nutella,Food
Morocco,Ferrero,Nutella,Food
Jordan,Ferrero,Tic Tac,Food
Lebanon,Ferrero,Tic Tac,Food
Iraq,Ferrero,Tic Tac,Food
Morocco,Ferrero,Tic Tac,Food
Jordan,Ferrero,Kinder,Food
Lebanon,Ferrero,Kinder,Food
Iraq,Ferrero,Kinder,Food
Morocco,Ferrero,Kinder,Food
Jordan,Ferrero,Rafaello,Food
Lebanon,Ferrero,Rafaello,Food
Iraq,Ferrero,Rafaello,Food
Morocco,Ferrero,Rafaello,Food
Jordan,Ferrero,Rocher,Food
Lebanon,Ferrero,Rocher,Food
Iraq,Ferrero,Rocher,Food
Morocco,Ferrero,Rocher,Food
United Arab Emirates,Fine Hygiene Paper,Fine Hygiene Paper,Personal Care
Saudi Arabia,Fine Hygiene Paper,Fine Hygiene Paper,Personal Care
Egypt,Fine Hygiene Paper,Fine Hygiene Paper,Personal Care
Jordan,Fine Hygiene Paper,Fine Hygiene Paper,Personal Care
Algeria,Flynas,Flynas,Travel
Austria,Flynas,Flynas,Travel
Azerbaijan,Flynas,Flynas,Travel
Bahrain,Flynas,Flynas,Travel
Bangladesh,Flynas,Flynas,Travel
Belgium,Flynas,Flynas,Travel
Bosnia and Herzegovina,Flynas,Flynas,Travel
Czech Republic,Flynas,Flynas,Travel
Egypt,Flynas,Flynas,Travel
Eritrea,Flynas,Flynas,Travel
France,Flynas,Flynas,Travel
Georgia,Flynas,Flynas,Travel
Germany,Flynas,Flynas,Travel
India,Flynas,Flynas,Travel
Iraq,Flynas,Flynas,Travel
Italy,Flynas,Flynas,Travel
Jordan,Flynas,Flynas,Travel
Kazakhstan,Flynas,Flynas,Travel
Kenya,Flynas,Flynas,Travel
Kosovo,Flynas,Flynas,Travel
Kuwait,Flynas,Flynas,Travel
Kyrgyzstan,Flynas,Flynas,Travel
Morocco,Flynas,Flynas,Travel
Oman,Flynas,Flynas,Travel
Pakistan,Flynas,Flynas,Travel
Poland,Flynas,Flynas,Travel
Qatar,Flynas,Flynas,Travel
Saudi Arabia,Flynas,Flynas,Travel
Serbia,Flynas,Flynas,Travel
Switzerland,Flynas,Flynas,Travel
Turkey,Flynas,Flynas,Travel
United Arab Emirates,Flynas,Flynas,Travel
Uganda,Flynas,Flynas,Travel
Uzbekistan,Flynas,Flynas,Travel
Albania,Flynas,Flynas,Travel
Lebanon,Gandour,Gandour,Food
Jordan,Gargour Fils & Co,Mercedes,Automotive
Jordan,GIG,Al Emlaq,Consumer Electronics
Egypt,Groupe SEB,Groupe SEB,Home Appliances
Kuwait,Gulf Bank,Gulf Bank,Finance
United Arab Emirates,Habib Bank,Habib Bank,Finance
Qatar,Hamad International Airport,Hamad International Airport,Travel
Saudi Arabia,Health Water Bottling,Nova,Drinks (non-alcoholic)
Egypt,Horizon Developments,Saada,Real Estate
Saudi Arabia,IHG,IHG,Travel
United Arab Emirates,IHG,IHG,Travel
Qatar,IHG,IHG,Travel
Bahrain,IHG,IHG,Travel
Kuwait,IHG,IHG,Travel
Oman,IHG,IHG,Travel
Jordan,IM Motors,IM Motors,Automotive
Morocco,Imkan,Real Estate,Utilities
Jordan,International Development Bank,International Development Bank,Finance
