brand,group_uid,final_status,detail,line_no
Crunchyroll,2ed332c7-7c85-4a97-a7ac-ed1c0b2a0972,Success,"[{'uid': '533e80b0-62d3-4c99-bd40-a3a2ddb653b9', 'group_uid': '2ed332c7-7c85-4a97-a7ac-ed1c0b2a0972', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '62ce27ed-5670-4f46-af79-4451cfac887b'}, {'uid': '1379b0b8-d4f2-460f-9ec5-5aeec4cd8a63', 'group_uid': '2ed332c7-7c85-4a97-a7ac-ed1c0b2a0972', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '62ce27ed-5670-4f46-af79-4451cfac887b'}, {'uid': '6a5d7793-42db-4319-bb69-c774d7bff05e', 'group_uid': '2ed332c7-7c85-4a97-a7ac-ed1c0b2a0972', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '62ce27ed-5670-4f46-af79-4451cfac887b'}]",129
Cholamandalam,7de1cc14-35da-4996-9fc3-f7a1512ba887,Success,"[{'uid': '4721e4a0-f691-4c36-b6c3-b43cd6a746f4', 'group_uid': '7de1cc14-35da-4996-9fc3-f7a1512ba887', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '7f381e78-7b34-480b-9908-5198f9d425e7'}, {'uid': '43fd1f6d-5560-42b1-8f65-69b55065933d', 'group_uid': '7de1cc14-35da-4996-9fc3-f7a1512ba887', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '7f381e78-7b34-480b-9908-5198f9d425e7'}, {'uid': '0603623b-7e8d-4688-ab33-0dcea9538f96', 'group_uid': '7de1cc14-35da-4996-9fc3-f7a1512ba887', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '7f381e78-7b34-480b-9908-5198f9d425e7'}]",133
Dabur,4834f0ce-84f1-43aa-b54c-8969c0391e5a,Success,"[{'uid': 'ab6fd0d8-813d-48bc-b007-be6b64abacc1', 'group_uid': '4834f0ce-84f1-43aa-b54c-8969c0391e5a', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}, {'uid': 'a9f4db11-38e1-49b3-b396-4af6ca3b27ab', 'group_uid': '4834f0ce-84f1-43aa-b54c-8969c0391e5a', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}, {'uid': '87308224-fda4-4b40-9e52-0df0314c2d7c', 'group_uid': '4834f0ce-84f1-43aa-b54c-8969c0391e5a', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}]",137
DCB,33ab3546-1454-4cee-b8f2-2a8c062aa97a,Success,"[{'uid': 'b31ebb3f-897c-4d8f-aade-ba5e16ea7ea9', 'group_uid': '33ab3546-1454-4cee-b8f2-2a8c062aa97a', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '74c97397-6a28-42be-aa2f-67c051f41e48'}, {'uid': '1fe9a2bf-1070-4929-b0b5-cb1c71944c0d', 'group_uid': '33ab3546-1454-4cee-b8f2-2a8c062aa97a', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '74c97397-6a28-42be-aa2f-67c051f41e48'}, {'uid': '06d52b25-2ec7-4c5c-be70-575dcfdf6ea9', 'group_uid': '33ab3546-1454-4cee-b8f2-2a8c062aa97a', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '74c97397-6a28-42be-aa2f-67c051f41e48'}]",139
Diamond Producers Association Esv,9f2eda40-1baf-4a4a-a8b0-377666587c8e,Success,"[{'uid': '3482ef8c-e251-4888-8467-0dc307ee5430', 'group_uid': '9f2eda40-1baf-4a4a-a8b0-377666587c8e', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '8a014b75-e554-4df9-a64c-b7f50d6746a1'}, {'uid': '054ac47b-4e53-4ffe-831d-bd890a3ba44a', 'group_uid': '9f2eda40-1baf-4a4a-a8b0-377666587c8e', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '8a014b75-e554-4df9-a64c-b7f50d6746a1'}, {'uid': 'd64a4125-a1e4-4fcb-b561-ba719a1cf659', 'group_uid': '9f2eda40-1baf-4a4a-a8b0-377666587c8e', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '8a014b75-e554-4df9-a64c-b7f50d6746a1'}]",143
Dabur,a055dc6e-90e0-4631-9255-dc7c2d586eff,Success,"[{'uid': 'ff331606-d6f9-4a84-8104-7d968474102f', 'group_uid': 'a055dc6e-90e0-4631-9255-dc7c2d586eff', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}, {'uid': 'b5d140cb-d6bf-44b0-9d2b-12c972e0204c', 'group_uid': 'a055dc6e-90e0-4631-9255-dc7c2d586eff', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}, {'uid': 'aaad6800-16c5-4647-8d56-2bca0f2d6bc4', 'group_uid': 'a055dc6e-90e0-4631-9255-dc7c2d586eff', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '76e11369-aaab-45fa-9361-c3c7d53a0bae'}]",148
Digital Rebate,bf5bfe92-82af-41fb-a711-5af647e574b4,Success,"[{'uid': '6ec8a0b4-5462-44fb-a06c-c6dd30c437d7', 'group_uid': 'bf5bfe92-82af-41fb-a711-5af647e574b4', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'd836bde3-a859-47c7-857c-8396ddc06629'}, {'uid': '4c289029-d837-44a1-9075-c01b110f12ca', 'group_uid': 'bf5bfe92-82af-41fb-a711-5af647e574b4', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'd836bde3-a859-47c7-857c-8396ddc06629'}, {'uid': '3c3aa1cd-aea4-425f-b70b-77722b794370', 'group_uid': 'bf5bfe92-82af-41fb-a711-5af647e574b4', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'd836bde3-a859-47c7-857c-8396ddc06629'}]",153
Dollar Industries,8cb7976a-f1db-48ea-948f-72b3764e9ef3,Success,"[{'uid': '4eb70636-f436-4481-8c75-6cb813e8125e', 'group_uid': '8cb7976a-f1db-48ea-948f-72b3764e9ef3', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'a253279b-3e46-45a9-b8b7-bedc012bc224'}, {'uid': '3be445f2-5f29-4976-92d6-a71eafae0ff8', 'group_uid': '8cb7976a-f1db-48ea-948f-72b3764e9ef3', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'a253279b-3e46-45a9-b8b7-bedc012bc224'}, {'uid': 'f95e4703-a9da-48e7-bdd2-dc01e5a23aef', 'group_uid': '8cb7976a-f1db-48ea-948f-72b3764e9ef3', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'a253279b-3e46-45a9-b8b7-bedc012bc224'}]",157
Dpka Universal Consumer Ventures,196e9709-0345-4641-a156-c0a4bfa34118,Success,"[{'uid': '1e5e5f51-570e-410c-8019-6928d99763c1', 'group_uid': '196e9709-0345-4641-a156-c0a4bfa34118', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'e53f9db9-7858-4e0a-9ac4-17c69c3ffd40'}, {'uid': '18eef36f-b227-4399-b9ec-8b8b394f6480', 'group_uid': '196e9709-0345-4641-a156-c0a4bfa34118', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'e53f9db9-7858-4e0a-9ac4-17c69c3ffd40'}, {'uid': '7f976453-ff7f-43c1-847f-dd6841a89c5d', 'group_uid': '196e9709-0345-4641-a156-c0a4bfa34118', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'e53f9db9-7858-4e0a-9ac4-17c69c3ffd40'}]",163
Dr Willmar Schwabe,829f160b-3920-4347-a167-9cf3aca51803,Success,"[{'uid': '58f49705-576c-428f-9442-5b23d5a4cbff', 'group_uid': '829f160b-3920-4347-a167-9cf3aca51803', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '9cde19b8-3598-457f-9563-b643807464b3'}, {'uid': 'a946c1ec-5a1a-424d-b0a0-c82602188e06', 'group_uid': '829f160b-3920-4347-a167-9cf3aca51803', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '9cde19b8-3598-457f-9563-b643807464b3'}, {'uid': '85a9ca9a-8c10-4948-a5d0-3e0c9227de6e', 'group_uid': '829f160b-3920-4347-a167-9cf3aca51803', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '9cde19b8-3598-457f-9563-b643807464b3'}]",169
